Gene	Flowers	IL	ML	Stem	Root
CRO_T100604	0.75	0.35	0	0	0
CRO_T100605	0	0	0	2.43	0.54
CRO_T100607	1.12	0	0.18	0	0.18
CRO_T100608	4.82	3.4	5.07	7.58	4.19
CRO_T100610	23.52	6.07	4.39	6.55	18.85
CRO_T100611	22.56	9.62	4.22	12.83	11.65
CRO_T100612	0.33	0.06	0.08	0.21	0
CRO_T100613	1.19	2.04	2.09	1.05	1.25
CRO_T100614	0.82	0.28	0.62	0.55	0.11
CRO_T100615	0	0	0.47	0.39	0.28
CRO_T100616	0.63	0.42	0.51	0.65	0.41
CRO_T100617	17.73	1.64	0.86	2.46	1.4
CRO_T100618	2.54	0.39	0.39	2.11	1.63
CRO_T100619	25.71	18.06	18.05	22.85	25.28
CRO_T100620	0.16	0.41	0.47	0.37	0.33
CRO_T100621	0.37	0.19	0.26	0.61	0.4
CRO_T100622	0	0.25	1.59	0.63	0.35
CRO_T100623	12.17	14.36	11.66	14.25	12.95
CRO_T100624	29.91	18.14	22.26	27.96	34.05
CRO_T100626	4.27	5.15	6.16	3.57	4.62
CRO_T100629	3.81	2.63	5.03	4.1	4.46
CRO_T100630	0.37	0.54	0.19	0.32	0.36
CRO_T100631	0.17	0	0	0.18	0
CRO_T100632	0.11	0.21	0	0	0
CRO_T100633	0	0.36	0.38	0	1.01
CRO_T100634	0.19	0.09	0	0	0
CRO_T100635	0.77	0.91	0.98	0.52	0.95
CRO_T100636	56.64	0.42	4.82	4.28	1.21
CRO_T100637	1.79	2	1.93	2.42	2.38
CRO_T100638	0.09	0.38	0.22	0.19	0.18
CRO_T100639	10.78	12.34	15.7	20.38	15.51
CRO_T100640	2.6	3.64	9.04	43.48	9.45
CRO_T100643	4.08	4.46	2.28	7.17	2.4
CRO_T100644	0.51	1.31	0.96	1.76	1.38
CRO_T100646	0.91	0.82	0.57	1.72	2.17
CRO_T100648	0.8	0.26	1.69	0.56	4.17
CRO_T100651	6.09	12.34	12.74	10.77	11.65
CRO_T100652	2.63	4.74	2.24	6.5	2.74
CRO_T100653	0.97	1.54	0.52	0.7	0.95
CRO_T100655	0.38	0.77	0.52	0.2	0
CRO_T100657	0.23	0	0.26	0	0.11
CRO_T100658	3.23	7.4	1.47	2.83	4.47
CRO_T100659	1.71	1.59	0.21	1.78	2.15
CRO_T100660	0	0.2	0	0	0.25
CRO_T100661	0.3	0.61	1.08	0.46	0.74
CRO_T100662	1.42	2.53	1.69	1.89	0.91
CRO_T100664	0.57	0.14	0.18	0.33	0.17
CRO_T100665	0.31	0	0	0.35	0
CRO_T100666	60.21	71.65	53.38	36.82	34.99
CRO_T100667	0.08	0.08	0.16	0.05	0.16
CRO_T100668	0.58	0.28	0.92	0.66	0.67
CRO_T100669	0.55	1.3	0.67	1.08	1.15
CRO_T100670	24.34	17.03	15.91	23.13	21.73
CRO_T100671	4.47	2.62	0.89	3.79	2.57
CRO_T100672	3.18	2.7	1.39	4.67	2.18
CRO_T100673	1.35	5.05	5.43	2.14	3.17
CRO_T100674	0.08	0.16	0.05	0	0.22
